T.Y. McGill,SF,DT,6-0,294,11/23/1992 (31),(31),8
Talanoa Hufanga,SF,SAF,6-0,200,2/1/2000 (24),(24),4
Tanner Mordecai,SF,QB,6-2,218,11/8/1999 (24),(24),R
Tatum Bethune,SF,LB,6-0,299,2/19/2001 (23),(23),R
Tay Martin,SF,WR,6-3,186,12/14/1997 (26),(26),1
Taybor Pepper,SF,LS,6-4,245,5/28/1994 (30),(30),7
Tayler Hawkins,SF,SAF,6-1,205,12/27/1997 (26),(26),1
Terique Owens,SF,WR,6-3,193,9/25/1999 (24),(24),R
Trent Taylor,SF,WR,5-8,178,4/30/1994 (30),(30),7
Trent Williams,SF,OT,6-5,320,7/19/1988 (35),(35),15
Yetur Gross-Matos,SF,DE,6-5,265,2/26/1998 (26),(26),5
Zeke Turner,SF,LB,6-2,214,6/9/1996 (28),(28),7
