Ryan Coll,ATL,OT,6-5,324,2/21/2001 (23),(23),R
Ryan Sanborn,ATL,P,6-3,211,—,,R
Storm Norton,ATL,OT,6-7,317,5/16/1994 (30),(30),5
Ta'Quon Graham,ATL,DT,6-4,294,12/1/1998 (25),(25),4
Taylor Heinicke,ATL,QB,6-1,210,3/15/1993 (31),(31),10
Tommy Togiai,ATL,DT,6-2,296,9/19/1999 (24),(24),3
Trey Vaval,ATL,CB,6-0,170,—,,R
Troy Andersen,ATL,LB,6-4,235,4/23/1999 (25),(25),3
Tyler Allgeier,ATL,RB,5-11,220,4/15/2000 (24),(24),3
Tyler Vrabel,ATL,OT,6-6,315,6/24/2000 (24),(24),1
Younghoe Koo,ATL,K,5-9,185,8/3/1994 (29),(29),7
Zach Harrison,ATL,DE,6-6,272,8/14/2001 (22),(22),2
Zion Logue,ATL,DT,6-6,314,7/13/2001 (22),(22),R
