Sean Rhyan,GB,OT,6-5,320,9/15/2000,23,3
Spencer Waege,GB,DE,6-5,295,5/6/1999,25,1
Tedarrell Slaton,GB,DT,6-4,330,10/3/1997,26,4
Travis Glover,GB,OT,6-6,317,8/17/2000,23,R
Tucker Kraft,GB,TE,6-5,259,11/3/2000,23,2
Ty'Ron Hopper,GB,LB,6-2,228,4/26/2001,23,R
Tyler Coyle,GB,SAF,6-1,209,11/15/1998,25,1
Tyler Davis,GB,TE,6-4,252,4/2/1997,27,5
Xavier McKinney,GB,SAF,6-0,201,8/9/1999,24,5
Zach Tom,GB,OT,6-4,304,3/26/1999,25,3
Zayne Anderson,GB,SAF,6-2,206,1/3/1997,27,2
Zyon Gilbert,GB,DB,6-0,193,2/4/1999,25,1
