Ryan Hayes,MIA,OT,6-6,305,2/28/2000 (24),(24),1
Salvon Ahmed,MIA,RB,5-11,197,12/29/1998 (25),(25),5
Shaquil Barrett,MIA,LB,6-2,250,11/17/1992 (31),(31),10
Siran Neal,MIA,DB,6-0,206,8/4/1994 (29),(29),7
Skylar Thompson,MIA,QB,6-2,219,6/4/1997 (27),(27),3
Storm Duck,MIA,DB,6-0,195,12/15/2000 (23),(23),R
Tahj Washington,MIA,WR,5-10,175,5/16/2001 (23),(23),R
Tanner Conner,MIA,TE,6-3,232,3/20/1998 (26),(26),2
Teair Tart,MIA,DT,6-2,304,2/28/1997 (27),(27),5
Terron Armstead,MIA,OT,6-5,304,7/23/1991 (32),(32),12
Tua Tagovailoa,MIA,QB,6-1,227,3/2/1998 (26),(26),5
Tyreek Hill,MIA,WR,5-10,191,3/1/1994 (30),(30),9
Zach Sieler,MIA,DE,6-6,300,9/7/1995 (28),(28),7
Zeke Vandenburgh,MIA,LB,6-4,232,1/18/1999 (25),(25),2
