Solomon Byrd,HOU,DE,6-3,255,12/1/1999 (24),(24),R
Stefon Diggs,HOU,WR,6-0,191,11/29/1993 (30),(30),10
Steven Sims,HOU,WR,5-10,176,3/31/1997 (27),(27),4
Tank Dell,HOU,WR,5-10,165,10/29/1999 (24),(24),2
Tarique Barnes,HOU,LB,6-1,230,11/23/2000 (23),(23),R
Teagan Quitoriano,HOU,TE,6-6,259,3/15/2000 (24),(24),3
Tim Boyle,HOU,QB,6-4,232,10/3/1994 (29),(29),6
Tim Settle,HOU,DT,6-3,328,7/11/1997 (27),(27),7
Tommy Townsend,HOU,P,6-1,176,11/12/1996 (27),(27),5
Troy Hairston II,HOU,FB,5-11,245,12/8/1998 (25),(25),3
Troy Pride,HOU,CB,5-11,195,1/19/1998 (26),(26),3
Tytus Howard,HOU,OT,6-5,322,5/23/1996 (28),(28),6
Will Anderson Jr.,HOU,DE,6-4,243,9/2/2001 (22),(22),2
Xavier Hutchinson,HOU,WR,6-3,205,6/1/2000 (24),(24),2
